Year_Month,Cycle_Hiring_Count
2001-01,648
2001-02,646
2001-03,639
2001-04,654
2001-05,630
2001-06,622
2001-07,617
2001-08,613
2001-09,661
2001-10,695
2001-11,690
2001-12,707
2002-01,817
2002-02,839
2002-03,810
2002-04,789
2002-05,760
2002-06,724
2002-07,704
2002-08,691
2002-09,745
2002-10,803
2002-11,780
2002-12,761
2003-01,857
2003-02,907
2003-03,873
2003-04,910
2003-05,900
2003-06,880
2003-07,867
2003-08,854
2003-09,928
2003-10,1064
2003-11,1103
2003-12,1026
2004-01,1102
2004-02,1080
2004-03,1034
2004-04,1083
2004-05,1078
2004-06,1020
2004-07,984
2004-08,952
2004-09,1033
2004-10,1114
2004-11,1160
2004-12,1058
2005-01,1209
2005-02,1200
2005-03,1130
2005-04,1182
2005-05,1152
2005-06,1116
2005-07,1098
2005-08,1044
2005-09,1142
2005-10,1222
2005-11,1234
2005-12,1155
2006-01,1286
2006-02,1281
2006-03,1224
2006-04,1280
2006-05,1228
2006-06,1181
2006-07,1156
2006-08,1124
2006-09,1152
2006-10,1205
2006-11,1260
2006-12,1188
2007-01,1212
2007-02,1269
2007-03,1246
2007-04,1299
2007-05,1284
2007-06,1345
2007-07,1341
2007-08,1308
2007-09,1448
2007-10,1454
2007-11,1467
2007-12,1431
2008-01,1510
2008-02,1558
2008-03,1536
2008-04,1523
2008-05,1492
2008-06,1437
2008-07,1365
2008-08,1310
2008-09,1441
2008-10,1450
2008-11,1424
2008-12,1360
2009-01,1429
2009-02,1440
2009-03,1414
2009-04,1424
2009-05,1408
2009-06,1337
2009-07,1258
2009-08,1214
2009-09,1326
2009-10,1417
2009-11,1417
2009-12,1329
2010-01,1461
2010-02,1425
2010-03,1419
2010-04,1432
2010-05,1394
2010-06,1327
